Please provide a delta value: 
i,	x[i],	Artanh1_x[i],	Artanh2_x[i],	difference
93,	0.030000,	0.030000,	0.030009,	9.004863126e-06
94,	0.040000,	0.040000,	0.040021,	2.135383677e-05
95,	0.050000,	0.050042,	0.050042,	6.261182460e-08
96,	0.060000,	0.060072,	0.060072,	1.559210317e-07
97,	0.070000,	0.070114,	0.070115,	3.373209917e-07
98,	0.080000,	0.080171,	0.080171,	6.583709231e-07
99,	0.090000,	0.090243,	0.090244,	1.187856147e-06
100,	0.100000,	0.100333,	0.100335,	2.014397742e-06
101,	0.110000,	0.110444,	0.110447,	3.249123430e-06
102,	0.120000,	0.120576,	0.120581,	5.028408444e-06
103,	0.130000,	0.130732,	0.130740,	7.516695545e-06
104,	0.140000,	0.140915,	0.140926,	1.090940383e-05
105,	0.150000,	0.151125,	0.151140,	1.543593647e-05
106,	0.160000,	0.161365,	0.161387,	2.136279819e-05
107,	0.170000,	0.171638,	0.171667,	2.899683391e-05
108,	0.180000,	0.181944,	0.181983,	3.868860071e-05
109,	0.190000,	0.192286,	0.192337,	5.083588621e-05
110,	0.200000,	0.202667,	0.202733,	6.588738742e-05
111,	0.210000,	0.213087,	0.213171,	8.434656486e-05
112,	0.220000,	0.223549,	0.223656,	1.067756885e-04
113,	0.230000,	0.234056,	0.234189,	1.338000927e-04
114,	0.240000,	0.244608,	0.244774,	1.661126594e-04
115,	0.250000,	0.255208,	0.255413,	2.044785497e-04
116,	0.260000,	0.265859,	0.266108,	2.497402070e-04
117,	0.270000,	0.276561,	0.276864,	3.028226551e-04
118,	0.280000,	0.287317,	0.287682,	3.647391184e-04
119,	0.290000,	0.298130,	0.298566,	4.365969935e-04
120,	0.300000,	0.309000,	0.309520,	5.196042031e-04
121,	0.310000,	0.319930,	0.320545,	6.150759686e-04
122,	0.320000,	0.330923,	0.331647,	7.244420385e-04
123,	0.330000,	0.341979,	0.342828,	8.492544154e-04
124,	0.340000,	0.353101,	0.354093,	9.911956289e-04
125,	0.350000,	0.364292,	0.365444,	1.152087605e-03
126,	0.360000,	0.375552,	0.376886,	1.333901188e-03
127,	0.370000,	0.386884,	0.388423,	1.538766385e-03
128,	0.380000,	0.398291,	0.400060,	1.768983389e-03
129,	0.390000,	0.409773,	0.411800,	2.027034479e-03
130,	0.400000,	0.421333,	0.423649,	2.315596860e-03
131,	0.410000,	0.432974,	0.435611,	2.637556570e-03
132,	0.420000,	0.444696,	0.447692,	2.996023527e-03
133,	0.430000,	0.456502,	0.459897,	3.394347879e-03
134,	0.440000,	0.468395,	0.472231,	3.836137754e-03
135,	0.450000,	0.480375,	0.484700,	4.325278594e-03
136,	0.460000,	0.492445,	0.497311,	4.865954239e-03
137,	0.470000,	0.504608,	0.510070,	5.462669947e-03
138,	0.480000,	0.516864,	0.522984,	6.120277591e-03
139,	0.490000,	0.529216,	0.536060,	6.844003277e-03
140,	0.500000,	0.541667,	0.549306,	7.639477667e-03
141,	0.510000,	0.554217,	0.562730,	8.512769352e-03
142,	0.520000,	0.566869,	0.576340,	9.470421636e-03
143,	0.530000,	0.579626,	0.590145,	1.051949317e-02
144,	0.540000,	0.592488,	0.604156,	1.166760296e-02
145,	0.550000,	0.605458,	0.618381,	1.292298024e-02
146,	0.560000,	0.618539,	0.632833,	1.429452000e-02
147,	0.570000,	0.631731,	0.647523,	1.579184483e-02
148,	0.580000,	0.645037,	0.662463,	1.742537404e-02
149,	0.590000,	0.658460,	0.677666,	1.920640109e-02
150,	0.600000,	0.672000,	0.693147,	2.114718056e-02
151,	0.610000,	0.685660,	0.708921,	2.326102609e-02
152,	0.620000,	0.699443,	0.725005,	2.556242109e-02
153,	0.630000,	0.713349,	0.741416,	2.806714408e-02
154,	0.640000,	0.727381,	0.758174,	3.079241135e-02
155,	0.650000,	0.741542,	0.775299,	3.375703954e-02
156,	0.660000,	0.755832,	0.792814,	3.698163187e-02
157,	0.670000,	0.797257,	0.810743,	1.348629000e-02
158,	0.680000,	0.813889,	0.829114,	1.522470028e-02
159,	0.690000,	0.830784,	0.847956,	1.717212824e-02
160,	0.700000,	0.847947,	0.867301,	1.935319436e-02
161,	0.710000,	0.865388,	0.887184,	2.179560957e-02
162,	0.720000,	0.883114,	0.907645,	2.453063068e-02
163,	0.730000,	0.901134,	0.928727,	2.759359905e-02
164,	0.740000,	0.919455,	0.950479,	3.102458145e-02
165,	0.750000,	0.938086,	0.972955,	3.486913703e-02
166,	0.760000,	0.957036,	0.996215,	3.917924149e-02
167,	0.770000,	0.976313,	1.020328,	4.401440852e-02
168,	0.780000,	0.995927,	1.045371,	4.944306111e-02
169,	0.790000,	1.015887,	1.071432,	5.554422275e-02
170,	0.800000,	1.036203,	1.098612,	6.240962200e-02
171,	0.810000,	1.056883,	1.127029,	7.014633803e-02
172,	0.820000,	1.077937,	1.156817,	7.888016262e-02
173,	0.830000,	1.099376,	1.188136,	8.875992487e-02
174,	0.840000,	1.121210,	1.221174,	9.996312920e-02
175,	0.850000,	1.143449,	1.256153,	1.127034162e-01
176,	0.860000,	1.166104,	1.293345,	1.272406019e-01
177,	0.870000,	1.189185,	1.333080,	1.438944456e-01
178,	0.880000,	1.271086,	1.375768,	1.046817118e-01
179,	0.890000,	1.299858,	1.421926,	1.220673942e-01
180,	0.900000,	1.329426,	1.472219,	1.427933610e-01
